#deleted_bases,phat_PE_frw,phat_PE_rev,phat_merged,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,0.0,0.000280061613555,0.000140036409466,0.0,39.1428571429,0.0,132.0,0.0,1.0
G,0.000100030009003,0.000100022004841,0.000100026006762,33.6,35.6,126.0,126.0,1.0,1.0
C,0.000110049522285,0.000129787149076,0.000119928642458,39.85,25.8111111111,7.0,4.0,2.0,3.0
A,0.000205796016132,0.000200064020487,0.000202929907724,39.3993092622,33.590989011,3.0,8.0,7.0,6.0
